"","Date","key","value"
"1",2016-01-31,"Exports_weight_kilotonnes",2908.427
"2",2016-01-31,"Imports_weight_kilotonnes",1916.587
"3",2016-01-31,"Exports_value_mil_nzd",3964.305
"4",2016-01-31,"Imports_value_mil_nzd",3845.692
"5",2016-02-29,"Exports_weight_kilotonnes",3050.787
"6",2016-02-29,"Imports_weight_kilotonnes",1765.095
"7",2016-02-29,"Exports_value_mil_nzd",4367.229
"8",2016-02-29,"Imports_value_mil_nzd",3873.425
"9",2016-03-31,"Exports_weight_kilotonnes",3469.603
"10",2016-03-31,"Imports_weight_kilotonnes",1829.335
"11",2016-03-31,"Exports_value_mil_nzd",4449.918
"12",2016-03-31,"Imports_value_mil_nzd",3994.495
"13",2016-03-31,"All groups",1007
"14",2016-03-31,"Food",998
"15",2016-03-31,"Petrol",808
"16",2016-03-31,"Rent",1039
"17",2016-04-30,"Exports_weight_kilotonnes",3603.913
"18",2016-04-30,"Imports_weight_kilotonnes",1561.57
"19",2016-04-30,"Exports_value_mil_nzd",4490.533
"20",2016-04-30,"Imports_value_mil_nzd",3966.871
"21",2016-05-31,"Exports_weight_kilotonnes",3429.651
"22",2016-05-31,"Imports_weight_kilotonnes",1525.901
"23",2016-05-31,"Exports_value_mil_nzd",4697.686
"24",2016-05-31,"Imports_value_mil_nzd",4085.943
"25",2016-06-30,"Exports_weight_kilotonnes",3675.152
"26",2016-06-30,"Imports_weight_kilotonnes",1592.946
"27",2016-06-30,"Exports_value_mil_nzd",4453.225
"28",2016-06-30,"Imports_value_mil_nzd",4127.172
"29",2016-06-30,"All groups",1011
"30",2016-06-30,"Food",1000
"31",2016-06-30,"Petrol",851
"32",2016-06-30,"Rent",1044
"33",2016-07-31,"Exports_weight_kilotonnes",3319.184
"34",2016-07-31,"Imports_weight_kilotonnes",1742.366
"35",2016-07-31,"Exports_value_mil_nzd",4170.155
"36",2016-07-31,"Imports_value_mil_nzd",4072.093
"37",2016-08-31,"Exports_weight_kilotonnes",3791.622
"38",2016-08-31,"Imports_weight_kilotonnes",1826.404
"39",2016-08-31,"Exports_value_mil_nzd",3575.115
"40",2016-08-31,"Imports_value_mil_nzd",4615.616
"41",2016-09-30,"Exports_weight_kilotonnes",3165.111
"42",2016-09-30,"Imports_weight_kilotonnes",2038.733
"43",2016-09-30,"Exports_value_mil_nzd",3607.717
"44",2016-09-30,"Imports_value_mil_nzd",4609.756
"45",2016-09-30,"All groups",1014
"46",2016-09-30,"Food",1005
"47",2016-09-30,"Petrol",837
"48",2016-09-30,"Rent",1049
"49",2016-10-31,"Exports_weight_kilotonnes",3591.628
"50",2016-10-31,"Imports_weight_kilotonnes",1863.303
"51",2016-10-31,"Exports_value_mil_nzd",4093.105
"52",2016-10-31,"Imports_value_mil_nzd",4478.09
"53",2016-11-30,"Exports_weight_kilotonnes",3104.639
"54",2016-11-30,"Imports_weight_kilotonnes",2050.552
"55",2016-11-30,"Exports_value_mil_nzd",4004.33
"56",2016-11-30,"Imports_value_mil_nzd",4537.17
"57",2016-12-31,"Exports_weight_kilotonnes",3450.635
"58",2016-12-31,"Imports_weight_kilotonnes",1765.826
"59",2016-12-31,"Exports_value_mil_nzd",4634.934
"60",2016-12-31,"Imports_value_mil_nzd",4452.5
"61",2016-12-31,"All groups",1017
"62",2016-12-31,"Food",992
"63",2016-12-31,"Petrol",870
