great_walk,seasonality,hut_or_campsite,measure,date,count
Abel Tasman Coast Track - Great Walk,Year-round,Akersten Bay Campsite,BookedUnits,1/10/2005,6
Abel Tasman Coast Track - Great Walk,Year-round,Akersten Bay Campsite,Capacity,1/10/2005,180
Abel Tasman Coast Track - Great Walk,Year-round,Anapai Bay Campsite,BookedUnits,1/10/2005,24
Abel Tasman Coast Track - Great Walk,Year-round,Anapai Bay Campsite,Capacity,1/10/2005,336
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Campsite,BookedUnits,1/10/2005,365
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Campsite,Capacity,1/10/2005,3100
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Hut,BookedUnits,1/10/2005,425
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Hut,Capacity,1/10/2005,1054
Abel Tasman Coast Track - Great Walk,Year-round,Apple Tree Bay Campsite,BookedUnits,1/10/2005,70
Abel Tasman Coast Track - Great Walk,Year-round,Apple Tree Bay Campsite,Capacity,1/10/2005,840
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Campsite,BookedUnits,1/10/2005,125
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Campsite,Capacity,1/10/2005,1116
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Hut,BookedUnits,1/10/2005,335
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Hut,Capacity,1/10/2005,806
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Campsite,BookedUnits,1/10/2005,418
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Campsite,Capacity,1/10/2005,2480
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Hut,BookedUnits,1/10/2005,417
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Hut,Capacity,1/10/2005,1054
Abel Tasman Coast Track - Great Walk,Year-round,Coquille Campsite,BookedUnits,1/10/2005,0
Abel Tasman Coast Track - Great Walk,Year-round,Coquille Campsite,Capacity,1/10/2005,372
Abel Tasman Coast Track - Great Walk,Year-round,Huffams Overflow Campsite,BookedUnits,1/10/2005,0
Abel Tasman Coast Track - Great Walk,Year-round,Huffams Overflow Campsite,Capacity,1/10/2005,310
Abel Tasman Coast Track - Great Walk,Year-round,Mosquito Bay Campsite (water access only),BookedUnits,1/10/2005,114
Abel Tasman Coast Track - Great Walk,Year-round,Mosquito Bay Campsite (water access only),Capacity,1/10/2005,1240
Abel Tasman Coast Track - Great Walk,Year-round,Mutton Cove Campsite,BookedUnits,1/10/2005,59
Abel Tasman Coast Track - Great Walk,Year-round,Mutton Cove Campsite,Capacity,1/10/2005,1200
Abel Tasman Coast Track - Great Walk,Year-round,Observation Beach Campsite,BookedUnits,1/10/2005,5
Abel Tasman Coast Track - Great Walk,Year-round,Observation Beach Campsite,Capacity,1/10/2005,348
Abel Tasman Coast Track - Great Walk,Year-round,Onetahuti Bay Campsite,BookedUnits,1/10/2005,251
Abel Tasman Coast Track - Great Walk,Year-round,Onetahuti Bay Campsite,Capacity,1/10/2005,1120
Abel Tasman Coast Track - Great Walk,Year-round,Te Pukatea Bay Campsite,BookedUnits,1/10/2005,181
Abel Tasman Coast Track - Great Walk,Year-round,Te Pukatea Bay Campsite,Capacity,1/10/2005,434
Abel Tasman Coast Track - Great Walk,Year-round,Tinline Campsite,BookedUnits,1/10/2005,9
Abel Tasman Coast Track - Great Walk,Year-round,Tinline Campsite,Capacity,1/10/2005,810
Abel Tasman Coast Track - Great Walk,Year-round,Tonga Quarry Campsite,BookedUnits,1/10/2005,56
Abel Tasman Coast Track - Great Walk,Year-round,Tonga Quarry Campsite,Capacity,1/10/2005,620
