"","Date","Deceased","Recovered","Active"
"1",2020-02-28,0,0,1
"2",2020-02-29,0,0,1
"3",2020-03-01,0,0,1
"4",2020-03-02,0,0,1
"5",2020-03-03,0,0,1
"6",2020-03-04,0,0,3
"7",2020-03-05,0,0,3
"8",2020-03-06,0,0,4
"9",2020-03-07,0,0,5
"10",2020-03-08,0,0,5
"11",2020-03-09,0,0,5
"12",2020-03-10,0,0,5
"13",2020-03-11,0,0,5
"14",2020-03-12,0,0,5
"15",2020-03-13,0,0,5
"16",2020-03-14,0,0,6
"17",2020-03-15,0,0,8
"18",2020-03-16,0,0,8
"19",2020-03-17,0,0,12
"20",2020-03-18,0,0,20
"21",2020-03-19,0,0,28
"22",2020-03-20,0,0,39
"23",2020-03-21,0,0,52
"24",2020-03-22,0,0,66
"25",2020-03-23,0,0,102
"26",2020-03-24,0,12,143
"27",2020-03-25,0,22,183
"28",2020-03-26,0,27,256
"29",2020-03-27,0,37,331
"30",2020-03-28,0,50,401
"31",2020-03-29,1,56,457
"32",2020-03-30,1,63,525
"33",2020-03-31,1,74,572
"34",2020-04-01,1,82,625
"35",2020-04-02,1,92,704
"36",2020-04-03,1,103,764
"37",2020-04-04,1,127,822
"38",2020-04-05,1,156,882
"39",2020-04-06,1,176,929
"40",2020-04-07,1,241,918
"41",2020-04-08,1,282,927
"42",2020-04-09,1,317,921
"43",2020-04-10,2,373,908
"44",2020-04-11,4,422,886
"45",2020-04-12,4,471,855
"46",2020-04-13,5,546,798
"47",2020-04-14,9,628,729
"48",2020-04-15,9,728,649
"49",2020-04-16,9,770,622
"50",2020-04-17,11,816,582
"51",2020-04-18,11,867,544
"52",2020-04-19,12,912,507
"53",2020-04-20,12,974,454
"54",2020-04-21,13,1006,426
"55",2020-04-22,14,1036,401
"56",2020-04-23,16,1065,370
"57",2020-04-24,17,1095,344
"58",2020-04-25,18,1118,325
"59",2020-04-26,18,1142,310
"60",2020-04-27,19,1180,270
"61",2020-04-28,19,1214,239
"62",2020-04-29,19,1229,226
"63",2020-04-30,19,1241,216
"64",2020-05-01,19,1252,208
"65",2020-05-02,20,1263,202
"66",2020-05-03,20,1266,201
"67",2020-05-04,20,1276,191
"68",2020-05-05,20,1302,164
"69",2020-05-06,21,1316,151
"70",2020-05-07,21,1332,136
"71",2020-05-08,21,1347,122
"72",2020-05-09,21,1368,103
"73",2020-05-10,21,1371,102
"74",2020-05-11,21,1386,90
"75",2020-05-12,21,1398,78
"76",2020-05-13,21,1402,74
"77",2020-05-14,21,1411,65
"78",2020-05-15,21,1421,56
"79",2020-05-16,21,1428,49
"80",2020-05-17,21,1433,45
"81",2020-05-18,21,1433,45
"82",2020-05-19,21,1442,40
"83",2020-05-20,21,1447,35
"84",2020-05-21,21,1452,30
"85",2020-05-22,21,1455,28
"86",2020-05-23,21,1455,28
"87",2020-05-24,21,1456,27
"88",2020-05-25,21,1456,27
"89",2020-05-26,21,1461,22
"90",2020-05-27,21,1462,21
"91",2020-05-28,22,1474,8
"92",2020-05-29,22,1481,1
"93",2020-05-30,22,1481,1
"94",2020-05-31,22,1481,1
"95",2020-06-01,22,1481,1
"96",2020-06-02,22,1481,1
"97",2020-06-03,22,1481,1
"98",2020-06-04,22,1481,1
"99",2020-06-05,22,1481,1
"100",2020-06-06,22,1481,1
"101",2020-06-07,22,1481,1
"102",2020-06-08,22,1482,0
"103",2020-06-09,22,1482,0
"104",2020-06-10,22,1482,0
"105",2020-06-11,22,1482,0
"106",2020-06-12,22,1482,0
"107",2020-06-13,22,1482,0
"108",2020-06-14,22,1482,0
"109",2020-06-15,22,1482,0
"110",2020-06-16,22,1482,2
"111",2020-06-17,22,1482,2
"112",2020-06-18,22,1482,3
"113",2020-06-19,22,1482,3
"114",2020-06-20,22,1482,5
"115",2020-06-21,22,1482,7
"116",2020-06-22,22,1482,9
"117",2020-06-23,22,1483,10
"118",2020-06-24,22,1483,11
"119",2020-06-25,22,1484,13
"120",2020-06-26,22,1484,14
"121",2020-06-27,22,1484,16
"122",2020-06-28,22,1484,20
"123",2020-06-29,22,1484,22
"124",2020-06-30,22,1484,22
"125",2020-07-01,22,1484,22
"126",2020-07-02,22,1490,18
"127",2020-07-03,22,1490,18
"128",2020-07-04,22,1490,18
"129",2020-07-05,22,1490,21
"130",2020-07-06,22,1490,22
"131",2020-07-07,22,1492,22
"132",2020-07-08,22,1492,23
"133",2020-07-09,22,1494,24
"134",2020-07-10,22,1497,23
"135",2020-07-11,22,1497,24
"136",2020-07-12,22,1497,25
"137",2020-07-13,22,1497,25
"138",2020-07-14,22,1498,25
"139",2020-07-15,22,1498,27
"140",2020-07-16,22,1499,27
"141",2020-07-17,22,1506,21
"142",2020-07-18,22,1506,22
"143",2020-07-19,22,1506,25
"144",2020-07-20,22,1506,26
"145",2020-07-21,22,1506,27
"146",2020-07-22,22,1506,27
"147",2020-07-23,22,1511,22
"148",2020-07-24,22,1513,21
"149",2020-07-25,22,1513,21
"150",2020-07-26,22,1513,21
"151",2020-07-27,22,1513,21
"152",2020-07-28,22,1514,21
"153",2020-07-29,22,1514,23
"154",2020-07-30,22,1514,24
"155",2020-07-31,22,1518,20
"156",2020-08-01,22,1518,22
