"","Period","Trade","Gross_Weight_kt","NZD_Value_mil"
"1",1988-01-31,"Exports",550.458,799.476
"2",1988-01-31,"Imports",794.129,892.909
"3",1988-02-29,"Exports",906.514,1140.441
"4",1988-02-29,"Imports",726.047,940.189
"5",1988-03-31,"Exports",971.862,1236.02
"6",1988-03-31,"Imports",516.128,883.951
"7",1988-04-30,"Exports",961.191,1022.018
"8",1988-04-30,"Imports",640.725,867.439
"9",1988-05-31,"Exports",814.132,1228.317
"10",1988-05-31,"Imports",423.866,873.175
"11",1988-06-30,"Exports",1206.279,1149.823
"12",1988-06-30,"Imports",630.422,892.652
"13",1988-07-31,"Exports",623.617,1013.311
"14",1988-07-31,"Imports",566.105,937.825
"15",1988-08-31,"Exports",1003.688,1109.338
"16",1988-08-31,"Imports",486.561,968.512
"17",1988-09-30,"Exports",887.493,1211.466
"18",1988-09-30,"Imports",560.077,956.184
"19",1988-10-31,"Exports",603.559,936.548
"20",1988-10-31,"Imports",754.459,1017.792
"21",1988-11-30,"Exports",940.689,1250.357
"22",1988-11-30,"Imports",451.242,1102.52
"23",1988-12-31,"Exports",919.924,1418.46
"24",1988-12-31,"Imports",412.6,963.705
"25",1989-01-31,"Exports",683.431,1103.328
"26",1989-01-31,"Imports",434.779,971.877
"27",1989-02-28,"Exports",1014.208,1262.023
"28",1989-02-28,"Imports",930.546,1020.254
"29",1989-03-31,"Exports",1112.113,1389.911
"30",1989-03-31,"Imports",596.526,1095.46
"31",1989-04-30,"Exports",903.935,1269.705
"32",1989-04-30,"Imports",711.495,1096.943
"33",1989-05-31,"Exports",1102.542,1574.855
"34",1989-05-31,"Imports",539.405,1172.324
"35",1989-06-30,"Exports",890.952,1385.312
"36",1989-06-30,"Imports",694.98,1087.804
"37",1989-07-31,"Exports",1008.09,1148.895
"38",1989-07-31,"Imports",868.302,1252.362
"39",1989-08-31,"Exports",853.83,1116.585
"40",1989-08-31,"Imports",576.493,1324.239
"41",1989-09-30,"Exports",880.649,1131.829
"42",1989-09-30,"Imports",795.075,1213.281
"43",1989-10-31,"Exports",626.916,878.957
"44",1989-10-31,"Imports",573.14,1194.792
"45",1989-11-30,"Exports",1080.744,1369.224
"46",1989-11-30,"Imports",966.25,1516.255
"47",1989-12-31,"Exports",971.476,1309.421
"48",1989-12-31,"Imports",486.959,1182.351
"49",1990-01-31,"Exports",1059.555,1242.545
"50",1990-01-31,"Imports",895.47,1244.753
"51",1990-02-28,"Exports",968.583,1270.117
"52",1990-02-28,"Imports",744.005,1122.819
"53",1990-03-31,"Exports",1254.035,1475.882
"54",1990-03-31,"Imports",548.751,1167.251
"55",1990-04-30,"Exports",1091.447,1242.056
"56",1990-04-30,"Imports",687.012,1155.35
"57",1990-05-31,"Exports",1139.616,1584.327
"58",1990-05-31,"Imports",787.356,1319.526
"59",1990-06-30,"Exports",1120.693,1423.873
"60",1990-06-30,"Imports",609.633,1168.53
"61",1990-07-31,"Exports",1174.229,1279.39
"62",1990-07-31,"Imports",833.149,1367.397
"63",1990-08-31,"Exports",1125.861,1260.054
"64",1990-08-31,"Imports",612.427,1413.085
"65",1990-09-30,"Exports",940.594,1162.636
"66",1990-09-30,"Imports",707.022,1200.669
"67",1990-10-31,"Exports",1195.489,1259.452
"68",1990-10-31,"Imports",768.083,1432.432
"69",1990-11-30,"Exports",1022.104,1342.995
"70",1990-11-30,"Imports",623.129,1451.358
"71",1990-12-31,"Exports",1036.995,1182.166
"72",1990-12-31,"Imports",534.827,1093.585
"73",1991-01-31,"Exports",1143.959,1264.852
"74",1991-01-31,"Imports",767.223,1227.798
"75",1991-02-28,"Exports",1094.55,1287.674
"76",1991-02-28,"Imports",546.376,1225.371
"77",1991-03-31,"Exports",1293.213,1379.909
"78",1991-03-31,"Imports",738.693,1098.628
"79",1991-04-30,"Exports",1362.25,1339.714
"80",1991-04-30,"Imports",476.557,1079.717
"81",1991-05-31,"Exports",1467.281,1622.656
"82",1991-05-31,"Imports",804.688,1201.883
"83",1991-06-30,"Exports",1180.151,1389.423
"84",1991-06-30,"Imports",594.027,1000.358
"85",1991-07-31,"Exports",1244.887,1408.705
"86",1991-07-31,"Imports",560.64,1170.045
"87",1991-08-31,"Exports",1486.2,1356.902
"88",1991-08-31,"Imports",636.466,1268.782
"89",1991-09-30,"Exports",1040.917,1253.083
"90",1991-09-30,"Imports",637.569,1114.637
"91",1991-10-31,"Exports",1197.522,1340.469
"92",1991-10-31,"Imports",923.332,1372.111
"93",1991-11-30,"Exports",1686.328,1604.039
"94",1991-11-30,"Imports",506.215,1250.974
"95",1991-12-31,"Exports",1031.306,1468.99
"96",1991-12-31,"Imports",723.261,1180.668
"97",1992-01-31,"Exports",1133.939,1199.597
"98",1992-01-31,"Imports",610.919,1143.326
"99",1992-02-29,"Exports",1445.065,1487.185
"100",1992-02-29,"Imports",1053.405,1242.918
"101",1992-03-31,"Exports",1137.353,1622.309
"102",1992-03-31,"Imports",491.449,1238.657
"103",1992-04-30,"Exports",1446.604,1759.938
"104",1992-04-30,"Imports",739.419,1280.506
"105",1992-05-31,"Exports",1485.259,1704.668
"106",1992-05-31,"Imports",784.49,1244.823
"107",1992-06-30,"Exports",1521.901,1728.952
"108",1992-06-30,"Imports",679.061,1299.97
"109",1992-07-31,"Exports",1489.51,1548.232
"110",1992-07-31,"Imports",854.902,1520.191
"111",1992-08-31,"Exports",1090.029,1265.171
"112",1992-08-31,"Imports",612.154,1380.652
"113",1992-09-30,"Exports",1154.499,1437.226
"114",1992-09-30,"Imports",890.37,1487.315
"115",1992-10-31,"Exports",1312.634,1520.86
"116",1992-10-31,"Imports",542.642,1480.587
"117",1992-11-30,"Exports",1265.005,1593.871
"118",1992-11-30,"Imports",827.153,1525.2
"119",1992-12-31,"Exports",1279.412,1588.871
"120",1992-12-31,"Imports",677.603,1364.001
"121",1993-01-31,"Exports",1116.995,1229.112
"122",1993-01-31,"Imports",650.78,1161.067
"123",1993-02-28,"Exports",1140.871,1606.053
"124",1993-02-28,"Imports",931.764,1286.725
"125",1993-03-31,"Exports",1624.519,1985.057
"126",1993-03-31,"Imports",713.097,1462.301
"127",1993-04-30,"Exports",1697.973,1802.918
"128",1993-04-30,"Imports",806.816,1421.734
"129",1993-05-31,"Exports",1345.508,1809.394
"130",1993-05-31,"Imports",794.927,1375.828
"131",1993-06-30,"Exports",1984.405,1809.683
"132",1993-06-30,"Imports",697.309,1375.279
"133",1993-07-31,"Exports",1303.71,1594.131
"134",1993-07-31,"Imports",1055.54,1666.84
"135",1993-08-31,"Exports",1023.407,1532.241
"136",1993-08-31,"Imports",816.784,1593.173
"137",1993-09-30,"Exports",1343.644,1531.36
"138",1993-09-30,"Imports",832.394,1534.531
"139",1993-10-31,"Exports",1094.946,1469.743
"140",1993-10-31,"Imports",870.022,1495.686
"141",1993-11-30,"Exports",1484.838,1674.012
"142",1993-11-30,"Imports",1093.826,1706.139
"143",1993-12-31,"Exports",1284.796,1616.497
"144",1993-12-31,"Imports",449.635,1467.788
"145",1994-01-31,"Exports",1511.488,1336.357
"146",1994-01-31,"Imports",777.385,1231.036
"147",1994-02-28,"Exports",1377.034,1672.512
"148",1994-02-28,"Imports",922.785,1355.221
"149",1994-03-31,"Exports",1744.853,2032.958
"150",1994-03-31,"Imports",1025.003,1577.761
"151",1994-04-30,"Exports",1327.142,1757.711
"152",1994-04-30,"Imports",862.072,1375.784
"153",1994-05-31,"Exports",1977.848,2168.428
"154",1994-05-31,"Imports",942.907,1678.089
"155",1994-06-30,"Exports",1558.854,1763.489
"156",1994-06-30,"Imports",759.322,1505.408
"157",1994-07-31,"Exports",1372.812,1584.863
"158",1994-07-31,"Imports",986.61,1711.617
"159",1994-08-31,"Exports",1317.609,1618.488
"160",1994-08-31,"Imports",843.35,1785.965
"161",1994-09-30,"Exports",1383.255,1671.73
"162",1994-09-30,"Imports",1094.238,1800.288
"163",1994-10-31,"Exports",1373.711,1583.951
"164",1994-10-31,"Imports",842.375,1744.072
"165",1994-11-30,"Exports",1448.885,1804.263
"166",1994-11-30,"Imports",878.997,1906.681
"167",1994-12-31,"Exports",1422.118,1814.012
"168",1994-12-31,"Imports",941.477,1654.657
"169",1995-01-31,"Exports",1374.159,1473.224
"170",1995-01-31,"Imports",790.388,1383.545
"171",1995-02-28,"Exports",1501.628,1931.136
"172",1995-02-28,"Imports",841.496,1581.88
